"<b>Bank transfer due days:</b> <br/> Set the days for due date on bank transfer payments.","<b>Bankoverschrijving aantal dagen:</b> <br/> Stel de dagen voor de vervaldatum van overboekingen."

"Settings","Instellingen"
"Mollie Profiles [&rarr;]","Mollie Profielen [&rarr;]"
"Mollie Dashboard [&rarr;]","Mollie Dashboard [&rarr;]"

"{Reserved}","{Gereserveerd}"
"Select a bank:","Selecteer een bank:"

"Your order is awaiting payment before being released for processing and shipment.","Zodra wij uw betaling hebben ontvangen, wordt uw order verder verwerkt."
"You are currently using version %s. We strongly recommend you to upgrade to the new version %s!","U gebruikt momenteel versie %s. We raden u nadrukkelijk aan te upgraden naar de nieuwe versie %s!"
"Note: version information is accurate only when the cache is cleared.","Let op: versie informatie is alleen accuraat wanneer de cache is geleegd."
"iDEAL","iDEAL"
"Mister Cash","Mister Cash"
"Creditcard","Creditcard"
"Bank transfer","Overboeking"
"PayPal","PayPal"
"paysafecard","paysafecard"
"Bitcoin","Bitcoin"
"KBC/CBC Payment Button","KBC/CBC-Betaalknop"
